Geographic Area,City,Median Income
AL,Abanda CDP,11207
AL,Abbeville city,25615
AL,Adamsville city,42575
AL,Addison town,37083
AL,Akron town,21667
AL,Alabaster city,71816
AL,Albertville city,32911
AL,Alexander City city,29874
AL,Alexandria CDP,56058
AL,Aliceville city,21131
AL,Allgood town,42009
AL,Altoona town,27566
AL,Andalusia city,31968
AL,Anderson town,34792
AL,Anniston city,29681
AL,Arab city,40292
AL,Ardmore town,35670
AL,Argo town,57212
AL,Ariton town,24286
AL,Arley town,28750
AL,Ashford town,42704
AL,Ashland town,31438
AL,Ashville city,40547
AL,Athens city,47542
AL,Atmore city,26775
AL,Attalla city,37191
AL,Auburn city,38342
AL,Autaugaville town,24833
AL,Avon town,40417
AL,Axis CDP,55750
AL,Babbie town,41912
AL,Baileyton town,31875
AL,Bakerhill town,31875
AL,Ballplay CDP,37778
AL,Banks town,28750
AL,Bay Minette city,31576
AL,Bayou La Batre city,34583
AL,Bear Creek town,35563
AL,Beatrice town,18417
AL,Beaverton town,31875
AL,Belgreen CDP,27750
AL,Belk town,28906
AL,Bellamy CDP,22132
AL,Belle Fontaine CDP,34615
AL,Benton town,(X)
AL,Berry town,25865
AL,Bessemer city,29615
AL,Billingsley town,41250
AL,Birmingham city,31061
AL,Black town,41071
AL,Blountsville town,30152
AL,Blue Ridge CDP,96333
AL,Blue Springs town,45313
AL,Boaz city,35974
AL,Boligee town,12173
AL,Bon Air town,23750
AL,Bon Secour CDP,(X)
AL,Boykin CDP,(X)
AL,Brantley town,27870
AL,Brantleyville CDP,40370
AL,Brent city,33924
AL,Brewton city,31033
AL,Bridgeport city,28571
AL,Brighton city,22146
AL,Brilliant town,25893
AL,Bristow Cove CDP,(X)
AL,Brook Highland CDP,60212
AL,Brookside town,34554
AL,Brookwood town,51515
AL,Broomtown CDP,28750
AL,Brundidge city,23819
AL,Bucks CDP,-
AL,Butler town,28950
AL,Calera city,62893
AL,Calvert CDP,-
AL,Camden city,28375
AL,Camp Hill town,25118
AL,Carbon Hill city,25990
AL,Cardiff town,(X)
AL,Carlisle-Rockledge CDP,35938
AL,Carlton CDP,(X)
AL,Carolina town,50278
AL,Carrollton town,27857
AL,Castleberry town,20677
AL,Catherine CDP,-
AL,Cedar Bluff town,36389
AL,Center Point city,39944
AL,Centre city,31268
AL,Centreville city,41103
AL,Chatom town,35365
AL,Chelsea city,85757
AL,Cherokee town,28359
AL,Chickasaw city,30973
AL,Childersburg city,25948
AL,Choccolocco CDP,54825
AL,Chunchula CDP,(X)
AL,Citronelle city,48125
AL,Clanton city,39823
AL,Clay city,68717
AL,Clayhatchee town,32656
AL,Clayton town,25203
AL,Cleveland town,40909
AL,Clio city,19539
AL,Coaling town,54167
AL,Coats Bend CDP,42821
AL,Coffee Springs town,33636
AL,Coffeeville town,19583
AL,Coker town,45795
AL,Collinsville town,25795
AL,Colony town,33063
AL,Columbia town,31806
AL,Columbiana city,32700
AL,Concord CDP,44620
AL,Coosada town,47406
AL,Cordova city,19139
AL,Cottondale CDP,43875
AL,Cottonwood town,25313
AL,County Line town,55313
AL,Courtland town,33125
AL,Cowarts town,43533
AL,Creola city,51705
AL,Crossville town,30833
AL,Cuba town,40673
AL,Cullman city,38746
AL,Cullomburg CDP,(X)
AL,Cusseta town,52500
AL,Dadeville city,29368
AL,Daleville city,45651
AL,Daphne city,60737
AL,Dauphin Island town,63594
AL,Daviston town,47639
AL,Dayton town,(X)
AL,Deatsville town,78125
AL,Decatur city,41496
AL,Deer Park CDP,(X)
AL,Delta CDP,(X)
AL,Demopolis city,27656
AL,Detroit town,24107
AL,Dodge City town,41346
AL,Dora city,40769
AL,Dothan city,42426
AL,Double Springs town,29063
AL,Douglas town,29318
AL,Dozier town,21765
AL,Dunnavant CDP,42857
AL,Dutton town,39688
AL,East Brewton city,26736
AL,East Point CDP,62059
AL,Eclectic town,41304
AL,Edgewater CDP,26818
AL,Edwardsville town,38438
AL,Egypt CDP,56693
AL,Elba city,26156
AL,Elberta town,31190
AL,Eldridge town,30000
AL,Elkmont town,39583
AL,Elmore town,40150
AL,Emelle town,36250
AL,Emerald Mountain CDP,91054
AL,Enterprise city,54450
AL,Epes town,25000
AL,Ethelsville town,40417
AL,Eufaula city,32845
AL,Eunola CDP,42023
AL,Eutaw town,22377
AL,Eva town,39868
AL,Evergreen city,18661
AL,Excel town,34375
AL,Fairfield city,34890
AL,Fairford CDP,32269
AL,Fairhope city,61489
AL,Fairview town,37750
AL,Falkville town,33846
AL,Faunsdale town,20625
AL,Fayette city,30646
AL,Fayetteville CDP,34632
AL,Fitzpatrick CDP,(X)
AL,Five Points town,45000
AL,Flomaton town,24406
AL,Florala town,25673
AL,Florence city,35731
AL,Foley city,40938
AL,Forestdale CDP,48654
AL,Forkland town,19063
AL,Fort Deposit town,23963
AL,Fort Payne city,38833
AL,Fort Rucker CDP,59265
AL,Franklin town,60417
AL,Fredonia CDP,66591
AL,Frisco City town,17311
AL,Fruitdale CDP,63125
AL,Fruithurst town,35625
AL,Fulton town,32083
AL,Fultondale city,51587
AL,Fyffe town,42356
AL,Gadsden city,29136
AL,Gainesville town,14444
AL,Gallant CDP,45859
AL,Gantt town,47000
AL,Garden City town,31591
AL,Gardendale city,56132
AL,Gaylesville town,26818
AL,Geiger town,45125
AL,Geneva city,29912
AL,Georgiana town,19969
AL,Geraldine town,42292
AL,Gilbertown town,33750
AL,Glen Allen town,24531
AL,Glencoe city,46691
AL,Glenwood town,36000
AL,Goldville town,46250
AL,Good Hope town,47754
AL,Goodwater town,23809
AL,Gordo town,30781
AL,Gordon town,22250
AL,Gordonville town,18224
AL,Goshen town,40132
AL,Graham CDP,41914
AL,Grand Bay CDP,48767
AL,Grant town,55000
AL,Grayson Valley CDP,46250
AL,Graysville city,41282
AL,Greensboro city,21797
AL,Greenville city,29741
AL,Grimes town,31579
AL,Grove Hill town,31786
AL,Guin city,23000
AL,Gulfcrest CDP,68462
AL,Gulf Shores city,47662
AL,Guntersville city,39756
AL,Gurley town,32500
AL,Gu-Win town,39000
AL,Hackleburg town,28819
AL,Hackneyville CDP,60474
AL,Haleburg town,54167
AL,Haleyville city,24291
AL,Hamilton city,33053
AL,Hammondville town,43281
AL,Hanceville city,29231
AL,Harpersville town,35972
AL,Hartford city,22094
AL,Hartselle city,53878
AL,Harvest CDP,63708
AL,Hatton CDP,(X)
AL,Hayden town,50795
AL,Hayneville town,18802
AL,Hazel Green CDP,41938
AL,Headland city,51822
AL,Heath town,38333
AL,Heflin city,25823
AL,Helena city,84615
AL,Henagar city,30757
AL,Highland Lake town,51250
AL,Highland Lakes CDP,124291
AL,Hillsboro town,34712
AL,Hissop CDP,25032
AL,Hobson CDP,(X)
AL,Hobson City town,25563
AL,Hodges town,29583
AL,Hokes Bluff city,46042
AL,Hollins CDP,(X)
AL,Hollis Crossroads CDP,34408
AL,Holly Pond town,44750
AL,Hollywood town,29306
AL,Holt CDP,30446
AL,Holtville CDP,52713
AL,Homewood city,61626
AL,Hoover city,77146
AL,Horn Hill town,34464
AL,Hueytown city,42172
AL,Huguley CDP,42063
AL,Huntsville city,48775
AL,Hurtsboro town,19732
AL,Hytop town,38542
AL,Ider town,32692
AL,Indian Springs Village city,96346
AL,Irondale city,47351
AL,Ivalee CDP,50737
AL,Jackson city,31232
AL,Jacksons' Gap town,36719
AL,Jacksonville city,38903
AL,Jasper city,39695
AL,Jemison city,38500
AL,Joppa CDP,23672
AL,Kansas town,38542
AL,Kellyton town,29688
AL,Kennedy town,35054
AL,Killen town,55313
AL,Kimberly city,76771
AL,Kinsey town,37109
AL,Kinston town,23571
AL,Ladonia CDP,32713
AL,La Fayette city,25666
AL,Lakeview town,46250
AL,Lake View town,88594
AL,Lanett city,25220
AL,Langston town,31875
AL,Leeds city,52689
AL,Leesburg town,41397
AL,Leighton town,22500
AL,Leroy CDP,47365
AL,Lester town,(X)
AL,Level Plains town,65769
AL,Lexington town,35521
