Geographic Area,City,percent_completed_hs
AL,Abanda CDP,21.2
AL,Abbeville city,69.1
AL,Adamsville city,78.9
AL,Addison town,81.4
AL,Akron town,68.6
AL,Alabaster city,89.3
AL,Albertville city,72.7
AL,Alexander City city,78.1
AL,Alexandria CDP,88.8
AL,Aliceville city,74.3
AL,Allgood town,48.1
AL,Altoona town,66.9
AL,Andalusia city,81.1
AL,Anderson town,85.7
AL,Anniston city,79.8
AL,Arab city,87.6
AL,Ardmore town,77.7
AL,Argo town,87.5
AL,Ariton town,71.3
AL,Arley town,80.6
AL,Ashford town,83.5
AL,Ashland town,77.9
AL,Ashville city,77.6
AL,Athens city,83.4
AL,Atmore city,73.7
AL,Attalla city,76
AL,Auburn city,94.3
AL,Autaugaville town,71.2
AL,Avon town,82.8
AL,Axis CDP,79.9
AL,Babbie town,81.2
AL,Baileyton town,74.7
AL,Bakerhill town,72.4
AL,Ballplay CDP,80.3
AL,Banks town,73
AL,Bay Minette city,79.1
AL,Bayou La Batre city,58.5
AL,Bear Creek town,76.7
AL,Beatrice town,89.1
AL,Beaverton town,87.9
AL,Belgreen CDP,87
AL,Belk town,63.8
AL,Bellamy CDP,86.5
AL,Belle Fontaine CDP,91.9
AL,Benton town,100
AL,Berry town,65.4
AL,Bessemer city,81.5
AL,Billingsley town,71.3
AL,Birmingham city,85.1
AL,Black town,90
AL,Blountsville town,73.1
AL,Blue Ridge CDP,97.6
AL,Blue Springs town,95.6
AL,Boaz city,76.6
AL,Boligee town,79.9
AL,Bon Air town,85.7
AL,Bon Secour CDP,79
AL,Boykin CDP,53.7
AL,Brantley town,75.1
AL,Brantleyville CDP,85.1
AL,Brent city,73.8
AL,Brewton city,84.5
AL,Bridgeport city,74.9
AL,Brighton city,78.6
AL,Brilliant town,75.9
AL,Bristow Cove CDP,65.1
AL,Brook Highland CDP,96.2
AL,Brookside town,78.7
AL,Brookwood town,83.1
AL,Broomtown CDP,66.2
AL,Brundidge city,77.2
AL,Bucks CDP,100
AL,Butler town,80.2
AL,Calera city,89.1
AL,Calvert CDP,22.8
AL,Camden city,82.8
AL,Camp Hill town,76.6
AL,Carbon Hill city,65.4
AL,Cardiff town,72.7
AL,Carlisle-Rockledge CDP,73.1
AL,Carlton CDP,77
AL,Carolina town,87.8
AL,Carrollton town,71
AL,Castleberry town,75.9
AL,Catherine CDP,100
AL,Cedar Bluff town,77.9
AL,Center Point city,87.1
AL,Centre city,76.7
AL,Centreville city,81.6
AL,Chatom town,76
AL,Chelsea city,93.5
AL,Cherokee town,80.9
AL,Chickasaw city,79.9
AL,Childersburg city,78.8
AL,Choccolocco CDP,89.4
AL,Chunchula CDP,91.2
AL,Citronelle city,82.5
AL,Clanton city,76.8
AL,Clay city,92.2
AL,Clayhatchee town,85.3
AL,Clayton town,57.8
AL,Cleveland town,74.4
AL,Clio city,63.1
AL,Coaling town,88.2
AL,Coats Bend CDP,90.9
AL,Coffee Springs town,78
AL,Coffeeville town,71.7
AL,Coker town,89.2
AL,Collinsville town,52
AL,Colony town,77
AL,Columbia town,79
AL,Columbiana city,74.4
AL,Concord CDP,91.3
AL,Coosada town,84.3
AL,Cordova city,79.8
AL,Cottondale CDP,74.9
AL,Cottonwood town,76.3
AL,County Line town,83.9
AL,Courtland town,79.6
