Geographic Area,City,poverty_rate
AL,Abanda CDP,78.8
AL,Abbeville city,29.1
AL,Adamsville city,25.5
AL,Addison town,30.7
AL,Akron town,42
AL,Alabaster city,11.2
AL,Albertville city,26.7
AL,Alexander City city,30.4
AL,Alexandria CDP,9.7
AL,Aliceville city,41.3
AL,Allgood town,27.7
AL,Altoona town,27.5
AL,Andalusia city,24.5
AL,Anderson town,13.8
AL,Anniston city,31.7
AL,Arab city,16.7
AL,Ardmore town,19.1
AL,Argo town,8.6
AL,Ariton town,37.6
AL,Arley town,31.6
AL,Ashford town,18.8
AL,Ashland town,22.4
AL,Ashville city,28.3
AL,Athens city,13
AL,Atmore city,24.7
AL,Attalla city,20.3
AL,Auburn city,31.8
AL,Autaugaville town,24.1
AL,Avon town,22.2
AL,Axis CDP,6.8
AL,Babbie town,15.7
AL,Baileyton town,28.6
AL,Bakerhill town,19.1
AL,Ballplay CDP,7.1
AL,Banks town,38.2
AL,Bay Minette city,26.3
AL,Bayou La Batre city,30.1
AL,Bear Creek town,25.3
AL,Beatrice town,44.9
AL,Beaverton town,8.1
AL,Belgreen CDP,28.8
AL,Belk town,39.1
AL,Bellamy CDP,42.9
AL,Belle Fontaine CDP,36.7
AL,Benton town,0
AL,Berry town,30.9
AL,Bessemer city,32.9
AL,Billingsley town,20.5
AL,Birmingham city,30.9
AL,Black town,12.7
AL,Blountsville town,41.2
AL,Blue Ridge CDP,0.5
AL,Blue Springs town,4
AL,Boaz city,19.4
AL,Boligee town,60.3
AL,Bon Air town,47.6
AL,Bon Secour CDP,18.2
AL,Boykin CDP,53.7
AL,Brantley town,20.7
AL,Brantleyville CDP,19.2
AL,Brent city,17.3
AL,Brewton city,27.8
AL,Bridgeport city,34.7
AL,Brighton city,33
AL,Brilliant town,22.5
AL,Bristow Cove CDP,39.7
AL,Brook Highland CDP,11.5
AL,Brookside town,19.2
AL,Brookwood town,10.8
AL,Broomtown CDP,23.8
AL,Brundidge city,32.4
AL,Bucks CDP,0
AL,Butler town,25.3
AL,Calera city,5.8
AL,Calvert CDP,79.4
AL,Camden city,31.9
AL,Camp Hill town,36.6
AL,Carbon Hill city,32.2
AL,Cardiff town,30
AL,Carlisle-Rockledge CDP,17.2
AL,Carlton CDP,18.9
AL,Carolina town,7.4
AL,Carrollton town,29.1
AL,Castleberry town,39.6
AL,Catherine CDP,0
AL,Cedar Bluff town,25.8
AL,Center Point city,25
AL,Centre city,25.1
AL,Centreville city,22.4
AL,Chatom town,19.8
AL,Chelsea city,4.9
AL,Cherokee town,19.9
AL,Chickasaw city,33.6
AL,Childersburg city,38.6
AL,Choccolocco CDP,14.7
AL,Chunchula CDP,0
AL,Citronelle city,16.9
AL,Clanton city,16.9
AL,Clay city,6.6
AL,Clayhatchee town,16.4
AL,Clayton town,29.3
AL,Cleveland town,15
AL,Clio city,31.4
AL,Coaling town,19.5
AL,Coats Bend CDP,15
AL,Coffee Springs town,21.2
AL,Coffeeville town,41.3
AL,Coker town,10
AL,Collinsville town,32.1
AL,Colony town,24.8
AL,Columbia town,20.1
AL,Columbiana city,24
AL,Concord CDP,7.9
AL,Coosada town,23.5
AL,Cordova city,32.8
AL,Cottondale CDP,12.8
AL,Cottonwood town,29.8
AL,County Line town,10.7
AL,Courtland town,25.8
AL,Cowarts town,11.7
AL,Creola city,18.1
AL,Crossville town,38.1
AL,Cuba town,21
AL,Cullman city,21.9
AL,Cullomburg CDP,8.5
AL,Cusseta town,9.3
AL,Dadeville city,28.8
AL,Daleville city,24.5
AL,Daphne city,11.2
AL,Dauphin Island town,3.6
AL,Daviston town,12.9
AL,Dayton town,48
AL,Deatsville town,5.1
AL,Decatur city,21.2
AL,Deer Park CDP,28.1
AL,Delta CDP,0
AL,Demopolis city,31
AL,Detroit town,27.9
AL,Dodge City town,16.7
AL,Dora city,17.2
AL,Dothan city,19.1
AL,Double Springs town,27.5
AL,Douglas town,34.9
AL,Dozier town,30.3
AL,Dunnavant CDP,7.7
AL,Dutton town,24.2
AL,East Brewton city,30.6
AL,East Point CDP,0
AL,Eclectic town,13.4
AL,Edgewater CDP,26.5
AL,Edwardsville town,5.1
AL,Egypt CDP,4.5
AL,Elba city,31.1
AL,Elberta town,15.8
AL,Eldridge town,37.8
AL,Elkmont town,11.2
AL,Elmore town,30
AL,Emelle town,0
AL,Emerald Mountain CDP,8.2
AL,Enterprise city,16.3
AL,Epes town,24.8
AL,Ethelsville town,32.3
AL,Eufaula city,25.3
AL,Eunola CDP,0
AL,Eutaw town,32.7
AL,Eva town,11.1
AL,Evergreen city,52.6
AL,Excel town,18.6
AL,Fairfield city,23.4
AL,Fairford CDP,0
AL,Fairhope city,11.2
AL,Fairview town,24
AL,Falkville town,26
AL,Faunsdale town,30.2
AL,Fayette city,25.9
AL,Fayetteville CDP,15.3
AL,Fitzpatrick CDP,15.5
AL,Five Points town,20.4
AL,Flomaton town,30.2
AL,Florala town,30.1
AL,Florence city,24.6
AL,Foley city,18.9
AL,Forestdale CDP,17
AL,Forkland town,48.1
AL,Fort Deposit town,30.2
AL,Fort Payne city,19
AL,Fort Rucker CDP,8
AL,Franklin town,6.6
AL,Fredonia CDP,18.4
AL,Frisco City town,31.3
AL,Fruitdale CDP,33
AL,Fruithurst town,13.5
AL,Fulton town,19.9
AL,Fultondale city,14
AL,Fyffe town,12.8
AL,Gadsden city,29.4
AL,Gainesville town,40.9
AL,Gallant CDP,3.9
AL,Gantt town,8.3
AL,Garden City town,19.3
AL,Gardendale city,7.8
AL,Gaylesville town,19.3
AL,Geiger town,19.5
AL,Geneva city,30.3
AL,Georgiana town,35.5
AL,Geraldine town,13.8
AL,Gilbertown town,21.5
AL,Glen Allen town,21.4
AL,Glencoe city,11.1
AL,Glenwood town,13.6
AL,Goldville town,9.3
AL,Good Hope town,15.2
AL,Goodwater town,32.2
AL,Gordo town,26.3
AL,Gordon town,26.9
AL,Gordonville town,39.2
AL,Goshen town,31.9
AL,Graham CDP,4.5
AL,Grand Bay CDP,6.4
AL,Grant town,7.2
AL,Grayson Valley CDP,8.9
AL,Graysville city,17.4
AL,Greensboro city,39.3
AL,Greenville city,25.8
AL,Grimes town,19.1
AL,Grove Hill town,26.1
AL,Guin city,37.5
AL,Gulfcrest CDP,0
AL,Gulf Shores city,16.6
AL,Guntersville city,16.2
AL,Gurley town,30.8
AL,Gu-Win town,12
AL,Hackleburg town,25.7
AL,Hackneyville CDP,17.8
AL,Haleburg town,8.3
AL,Haleyville city,26.8
AL,Hamilton city,18.5
AL,Hammondville town,8
AL,Hanceville city,25.8
AL,Harpersville town,18.8
AL,Hartford city,36.7
AL,Hartselle city,6.9
AL,Harvest CDP,5.5
AL,Hatton CDP,0
AL,Hayden town,7.9
AL,Hayneville town,44.4
AL,Hazel Green CDP,14.9
AL,Headland city,13.1
AL,Heath town,32.5
AL,Heflin city,22.6
AL,Helena city,2.1
AL,Henagar city,19.4
AL,Highland Lake town,9.2
AL,Highland Lakes CDP,2
AL,Hillsboro town,17.6
AL,Hissop CDP,23.2
AL,Hobson CDP,0
AL,Hobson City town,41.3
AL,Hodges town,26.9
AL,Hokes Bluff city,13.7
AL,Hollins CDP,24.4
AL,Hollis Crossroads CDP,29
AL,Holly Pond town,19
AL,Hollywood town,20.3
AL,Holt CDP,46.4
AL,Holtville CDP,11.1
AL,Homewood city,12.7
AL,Hoover city,6
AL,Horn Hill town,10.2
AL,Hueytown city,14.3
AL,Huguley CDP,16.3
AL,Huntsville city,18.2
AL,Hurtsboro town,46
AL,Hytop town,14.7
AL,Ider town,15.4
AL,Indian Springs Village city,4.4
AL,Irondale city,20.5
AL,Ivalee CDP,0
AL,Jackson city,24.7
AL,Jacksons' Gap town,26.1
AL,Jacksonville city,31.2
AL,Jasper city,22.3
AL,Jemison city,24.9
AL,Joppa CDP,0
AL,Kansas town,25.3
AL,Kellyton town,29.8
AL,Kennedy town,10.9
AL,Killen town,17.7
AL,Kimberly city,6.3
AL,Kinsey town,16.2
AL,Kinston town,30.2
AL,Ladonia CDP,26
AL,La Fayette city,24.8
AL,Lakeview town,13.5
AL,Lake View town,2.2
AL,Lanett city,29.8
AL,Langston town,24.6
AL,Leeds city,15.4
AL,Leesburg town,18
AL,Leighton town,25.6
AL,Leroy CDP,6.7
AL,Lester town,16.1
AL,Level Plains town,11.1
AL,Lexington town,21.3
AL,Libertyville town,4.8
AL,Lillian CDP,11.6
AL,Lincoln city,12.7
AL,Linden city,25.1
AL,Lineville city,12.9
AL,Lipscomb city,30.6
AL,Lisman town,44.9
AL,Littleville town,7.7
AL,Livingston city,55.2
AL,Loachapoka town,31.8
AL,Lockhart town,14.9
AL,Locust Fork town,14.2
AL,Lookout Mountain CDP,14.9
AL,Louisville town,11.8
AL,Lowndesboro town,3.4
AL,Loxley town,20
AL,Luverne city,20.3
AL,Lynn town,27.9
AL,McDonald Chapel CDP,62.6
AL,Macedonia CDP,4.2
AL,McIntosh town,13.7
AL,McKenzie town,22.5
AL,McMullen town,40
AL,Madison city,6.7
AL,Madrid town,14.9
AL,Magnolia Springs town,5.3
AL,Malcolm CDP,63.7
AL,Malvern town,19.8
AL,Maplesville town,29.1
AL,Marbury CDP,9.9
AL,Margaret town,10.1
AL,Marion city,33
AL,Maytown town,9.2
AL,Meadowbrook CDP,6.5
AL,Megargel CDP,46.9
AL,Memphis town,60.5
AL,Mentone town,10.9
AL,Meridianville CDP,15.4
AL,Midfield city,20.1
AL,Midland City town,31.5
AL,Midway town,43.1
AL,Mignon CDP,26
AL,Millbrook city,11.6
AL,Millerville CDP,8.8
AL,Millport town,22.4
AL,Millry town,26
AL,Minor CDP,10.8
AL,Mobile city,23.3
AL,Monroeville city,36.7
AL,Montevallo city,25.5
AL,Montgomery city,24.1
AL,Moody city,9.9
AL,Moores Mill CDP,11.1
