Geographic area,City,share_white,share_black,share_native_american,share_asian,share_hispanic
AL,Abanda CDP,67.2,30.2,0,0,1.6
AL,Abbeville city,54.4,41.4,0.1,1,3.1
AL,Adamsville city,52.3,44.9,0.5,0.3,2.3
AL,Addison town,99.1,0.1,0,0.1,0.4
AL,Akron town,13.2,86.5,0,0,0.3
AL,Alabaster city,79.4,13.5,0.4,0.9,9
AL,Albertville city,75.9,1.9,0.8,0.5,27.9
AL,Alexander City city,62.2,32,0.2,0.9,4.8
AL,Alexandria CDP,87.4,10.2,0.3,0.5,0.9
AL,Aliceville city,22.6,74.9,0.1,0,1.2
AL,Allgood town,79.6,0.6,0.3,0.6,49.4
AL,Altoona town,95.8,1.7,0.2,0.2,1.1
AL,Andalusia city,70.5,25.9,0.4,1,1.9
AL,Anderson town,97.9,0,0.4,0,0.7
AL,Anniston city,44.7,51.5,0.3,0.8,2.7
AL,Arab city,96.6,0.1,0.6,0.7,1.7
AL,Ardmore town,94.3,1.9,0.8,0.9,1.3
AL,Argo town,94.1,3.6,0.4,0.3,0.5
AL,Ariton town,78.3,19.2,0,0.1,6
AL,Arley town,94.4,0,0.6,0.3,1.4
AL,Ashford town,79,19.5,0.2,0.2,0.8
AL,Ashland town,71.5,24.1,0.3,0.7,5.7
AL,Ashville city,75.8,20.3,0.2,0.3,3.8
AL,Athens city,73,17.5,0.6,0.9,8.8
AL,Atmore city,40,55.6,1.8,0.3,1.8
AL,Attalla city,81.5,12.7,0.4,0.5,4.7
AL,Auburn city,75.1,16.5,0.3,5.3,2.9
AL,Autaugaville town,31.3,66.8,0.2,0,0.8
AL,Avon town,94.7,1.8,1.8,0,1.3
AL,Axis CDP,66.8,26.9,3.2,0.1,0.9
AL,Babbie town,96.7,0,0,1.5,0.2
AL,Baileyton town,96.2,0.2,0.5,0,1.5
AL,Bakerhill town,61.6,35.5,0.7,0,1.1
AL,Ballplay CDP,97.5,0.1,0.7,0.3,1
AL,Banks town,69.3,24.6,2.2,0,1.1
AL,Bay Minette city,60.4,35.3,1,0.8,1.8
AL,Bayou La Batre city,60.3,12.3,0.4,22.8,2.8
AL,Bear Creek town,97.1,0.1,0.7,0.2,1.8
AL,Beatrice town,23.6,76.1,0.3,0,0
AL,Beaverton town,95,5,0,0,1
AL,Belgreen CDP,96.1,0,0,0,3.9
AL,Belk town,95.8,2.8,0,0.5,0.9
AL,Bellamy CDP,8.3,90.8,0,0.9,1.3
AL,Belle Fontaine CDP,92.3,1.6,0.5,2.3,3.6
AL,Benton town,81.6,18.4,0,0,0
AL,Berry town,90.8,7.4,0,0,0.8
AL,Bessemer city,24.3,71.2,0.3,0.2,4.1
AL,Billingsley town,86.1,11.1,2.1,0,0.7
AL,Birmingham city,22.3,73.4,0.2,1,3.6
AL,Black town,92.3,6.3,0,0,0
AL,Blountsville town,87.3,0.7,1,0.4,15.3
AL,Blue Ridge CDP,94.5,2.7,0.7,0.9,1
AL,Blue Springs town,92.7,6.3,0,1,3.1
AL,Boaz city,87.3,1.8,0.4,0.7,14.2
AL,Boligee town,8.8,90.2,0,0,0.3
AL,Bon Air town,80.2,6.9,2.6,0,2.6
AL,Boykin CDP,4,95.3,0,0,0.7
AL,Brantley town,56.1,38.8,0.6,0.5,2
AL,Brantleyville CDP,82.1,3.3,0.9,0.5,12.6
AL,Brent city,45.1,53.5,0.1,0,2.1
AL,Brewton city,54.1,42.6,0.7,0.4,2.2
AL,Bridgeport city,84,8.6,1.9,0.2,1.7
AL,Brighton city,6.5,81,1,0,13.8
AL,Brilliant town,98.3,0.2,0.1,0.1,1.6
AL,Bristow Cove CDP,91.1,0,1.5,0.1,6.6
AL,Brook Highland CDP,73.6,16.2,0.2,4.4,7.8
AL,Brookside town,79.5,18.5,0.3,0.1,0.7
AL,Brookwood town,92.2,5.3,0.7,0.1,2
AL,Broomtown CDP,98.4,1.6,0,0,0
AL,Brundidge city,34.1,62.9,0.5,0.6,3
AL,Bucks CDP,59.4,31.3,3.1,0,3.1
AL,Butler town,71.4,26.7,0.2,0.2,0.7
AL,Calera city,71.2,23,0.2,0.6,5
AL,Calvert CDP,53.1,35.4,6.9,0,2.2
AL,Camden city,42,57.4,0.1,0,0.7
AL,Camp Hill town,10.2,88.4,0.1,0.1,0.7
AL,Carbon Hill city,89.4,8.2,0.2,0.1,1.2
AL,Cardiff town,94.5,5.5,0,0,0
AL,Carlisle-Rockledge CDP,95,0.9,0.9,0.1,3.1
AL,Carlton CDP,66.2,33.8,0,0,3.1
AL,Carolina town,96.6,0.3,0.3,0,0
AL,Carrollton town,49,43.1,0.1,0,10.4
AL,Castleberry town,59.2,38.4,0.3,0,0.5
AL,Catherine CDP,72.7,27.3,0,0,0
AL,Cedar Bluff town,86.2,9.9,0.7,0.3,1.2
AL,Center Point city,32.6,62.9,0.2,0.4,4.8
AL,Centre city,87,9.9,0.4,0.3,1.2
AL,Centreville city,72.2,23.7,0.3,0.4,3
AL,Chatom town,68.2,31.1,0,0,0.6
AL,Chelsea city,89.5,5.7,0.3,2,3.2
AL,Cherokee town,77.6,18.3,0.5,0.3,1.7
AL,Chickasaw city,63,33.6,0.8,0.5,2.3
AL,Childersburg city,60.1,36.9,0.4,0.5,1.3
AL,Choccolocco CDP,87.5,7.2,0.3,0.7,4.3
AL,Chunchula CDP,45.7,51.9,0,0,0.5
AL,Citronelle city,70.7,20.2,4.9,0.5,2.6
AL,Clanton city,74.9,19.1,0.3,0.6,6
AL,Clay city,84.1,13.3,0.3,0.6,1.3
AL,Clayhatchee town,94.9,1.7,0.3,0.3,2.4
AL,Clayton town,35.8,63.8,0,0,0.6
AL,Cleveland town,89.2,0.3,0.2,0.3,18.4
AL,Clio city,32,36.5,0.4,0.5,36
AL,Coaling town,86.4,11.4,0.1,0.1,0.8
AL,Coats Bend CDP,84.4,12.6,0.5,0,0.9
AL,Coffee Springs town,96.1,0,0,0,2.6
AL,Coffeeville town,51.4,46,0,0,0.6
AL,Coker town,95.2,2,0.2,0.9,1.8
AL,Collinsville town,47.8,9,1.1,0.1,43.1
AL,Colony town,10.4,86.9,0,0.4,0.4
AL,Columbia town,77,21.1,0.4,0,0.4
AL,Columbiana city,71.3,25.1,0.3,0.2,3
AL,Concord CDP,98.5,0.5,0.2,0.2,0.5
AL,Coosada town,57.7,40,0.4,0.2,2.9
AL,Cordova city,83.4,14.5,0.8,0.1,0.7
AL,Cottonwood town,71.8,25.4,0.6,0,1.1
AL,County Line town,94.2,1.2,3.1,1.2,0.4
AL,Courtland town,57.6,38.4,1.3,0.3,0.3
AL,Cowarts town,80.8,14.6,0.7,0.1,1.7
AL,Creola city,84.7,9.8,1.8,0.1,3.1
AL,Crossville town,88.7,0.4,1.9,0.2,8.3
AL,Cuba town,85.3,13,0.6,0,0.3
AL,Cullman city,93.4,0.9,0.3,0.9,8.2
AL,Cullomburg CDP,42.1,57.3,0,0,0
AL,Cusseta town,95.9,2.4,0,1.6,0
AL,Dadeville city,50.2,47.5,0.3,0.6,0.9
AL,Daleville city,66.2,22.6,1.1,2.7,10.1
AL,Daphne city,84.1,11.8,0.4,1.5,2.9
AL,Dauphin Island town,97.3,0.4,1,0.2,0.7
AL,Daviston town,88.8,10.3,0,0.9,1.9
AL,Dayton town,32.7,65.4,0,0,0
AL,Deatsville town,77.6,19.4,0.1,0.3,1.6
AL,Decatur city,66.5,21.7,0.7,0.9,12.4
AL,Deer Park CDP,31.9,66.5,0,0,1.6
AL,Delta CDP,97,0,2.5,0,0.5
AL,Demopolis city,47.3,50.1,0.1,0.5,2.4
AL,Detroit town,83.1,13.9,0,0,0.4
AL,Dodge City town,96,0.7,0.8,0,2.5
AL,Dora city,85.6,12.2,0.3,0,0.7
AL,Dothan city,63.1,32.5,0.4,1.1,2.9
AL,Double Springs town,97.3,0.6,0.8,0.2,0.4
AL,Douglas town,93.3,0.8,0.4,0,3.9
AL,Dozier town,59.6,35.3,0.3,0.3,0
AL,Dunnavant CDP,96.7,0.4,0.7,0,2.3
