"","Sqft","Floor","TotalFloor","Bedroom","Living.Room","Bathroom","Price"
"1",1177.698,2,7,2,2,2,62000
"2",2134.8,5,7,4,2,2,78000
"3",1138.56,5,7,2,2,1,58000
"4",1458.78,2,7,3,2,2,45000
"5",967.776,11,14,3,2,2,45000
"6",1127.886,11,12,4,2,2,148000
"7",1352.04,5,7,3,2,1,58000
"8",757.854,5,14,1,0,1,48000
"9",1152.792,10,12,3,2,2,45000
"10",1423.2,4,5,4,2,2,65000
"11",668.904,4,11,1,1,1,31000
"12",711.6,4,7,2,1,1,29002
"13",1352.04,9,19,4,2,2,39000
"14",818.34,4,13,2,2,1,48000
"15",2134.8,10,19,3,2,2,55000
"16",2768.124,6,19,3,2,2,100000
"17",711.6,5,13,2,2,1,48000
"18",462.54,5,13,1,1,1,25000
"19",2739.66,6,19,3,2,2,90000
"20",1174.14,3,9,3,2,1,33000
"21",2490.6,19,21,5,3,4,140000
"22",2768.124,6,19,3,2,2,100000
"23",747.18,7,15,2,2,1,55000
"24",1668.702,4,12,3,2,2,105000
"25",3664.74,19,19,3,2,3,200000
"26",1779,10,12,4,2,2,98000
"27",3664.74,19,19,3,2,3,200000
"28",3059.88,21,24,4,2,3,145000
"29",533.7,3,4,1,1,1,25000
"30",853.92,6,7,2,1,1,24028
"31",1732.746,8,12,4,2,2,65000
"32",1245.3,10,12,3,0,0,85000
"33",2134.8,10,19,3,2,2,55000
"34",1206.162,7,7,2,2,1,57000
"35",861.036,5,12,2,2,1,46000
"36",462.54,3,4,1,1,1,52000
"37",434.076,5,12,2,2,1,43500
"38",768.528,4,4,3,2,2,60000
"39",3735.9,19,19,3,2,3,200000
"40",889.5,6,7,3,2,1,36000
"41",3063.438,21,24,5,2,4,145000
"42",925.08,10,14,2,1,1,48000
"43",1174.14,2,14,3,2,2,36000
"44",1352.04,1,4,4,2,2,65000
"45",1771.884,7,15,4,2,2,70000
"46",1601.1,6,7,4,2,2,50000
"47",1487.244,2,6,2,2,2,47999
"48",2277.12,2,25,3,2,2,80000
"49",3735.9,19,19,3,2,3,200000
"50",711.6,4,7,2,1,1,24030
"51",2241.54,7,13,4,2,2,76000
"52",1494.36,1,5,2,2,2,70000
"53",711.6,2,3,2,2,1,32500
"54",889.5,2,6,2,2,1,30032
"55",4643.19,1,6,5,4,4,180000
"56",2191.728,2,7,3,2,2,80000
"57",640.44,5,7,1,1,1,36000
"58",1067.4,12,12,3,2,2,36000
"59",640.44,2,6,2,2,1,29032
"60",1362.714,1,7,3,2,2,43000
"61",604.86,6,10,2,1,1,30000
"62",889.5,2,4,4,1,1,32000
"63",1423.2,5,7,3,2,2,45000
"64",1184.814,2,9,3,2,2,49000
"65",391.38,5,7,1,1,1,27500
"66",426.96,5,13,1,1,1,23000
"67",1067.4,4,5,3,2,1,33500
"68",533.7,2,7,2,1,1,26000
"69",462.54,6,14,1,1,1,27500
"70",1270.206,6,8,3,2,2,50000
"71",889.5,8,12,2,1,1,25000
"72",1284.438,6,12,3,2,2,41000
"73",1892.856,2,7,4,2,3,90000
"74",996.24,2,4,3,2,1,26000
"75",711.6,4,7,2,2,1,38000
"76",1754.094,3,7,3,2,2,75000
"77",2063.64,7,24,3,2,1,56000
"78",1522.824,5,12,4,2,2,40000
"79",1540.614,6,14,4,2,2,89900
"80",914.406,2,4,2,2,1,37000
"81",1558.404,5,7,4,2,2,48800
"82",772.086,6,7,2,1,1,39000
"83",711.6,8,9,2,2,1,45000
"84",747.18,5,9,2,2,2,50000
"85",1227.51,5,12,3,1,2,45000
"86",1451.664,2,5,3,3,2,46000
"87",3255.57,4,7,4,2,4,130000
