Flow Duration,Total Length of Fwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Flow IAT Mean,Flow IAT Min,Fwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,URG Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,min_seg_size_forward,Labelb
50833,0,0,0.0,0,0,50833.0,50833,0,32,32,19.67226015,19.67226015,0,1,1,319,153,32,0
49,0,0,0.0,0,0,49.0,49,49,64,0,40816.32653,0.0,0,0,0,277,-1,32,0
306,6,6,6.0,6,6,306.0,306,0,20,20,3267.973856,3267.973856,6,0,1,0,0,20,0
63041,65,65,65.0,124,124,63041.0,63041,0,32,32,15.86269253,15.86269253,65,0,1,-1,-1,32,0
47682,43,43,43.0,59,59,47682.0,47682,0,32,32,20.97227465,20.97227465,43,0,1,-1,-1,32,0
23896,88,44,44.0,100,100,7965.333333,3,3,64,64,83.69601607,83.69601607,44,0,1,-1,-1,32,0
343,62,31,31.0,159,159,114.33333329999999,4,48,40,40,5830.90379,5830.90379,31,0,1,-1,-1,20,0
25271,164,41,41.0,57,57,3610.142857,1,1,80,80,158.2841993,158.2841993,41,0,1,-1,-1,20,0
1060,78,39,39.0,104,104,353.3333333,48,48,40,40,1886.792453,1886.792453,39,0,1,-1,-1,20,0
224,82,41,41.0,169,169,74.66666667,3,3,64,64,8928.571429000001,8928.571429000001,41,0,1,-1,-1,32,0
24644,176,44,44.0,60,60,3520.571429,3,3,80,80,162.3113131,162.3113131,44,0,1,-1,-1,20,0
64182028,876,479,54.75,1460,0,2139400.933,33,797,332,384,0.24929097,0.233710284,0,0,0,8192,114,20,0
14387858,825,472,82.5,1869,0,846344.5882,40,8583,212,172,0.69503049,0.556024392,0,0,0,8192,245,20,0
15194838,18,6,6.0,0,0,3798709.5,23597,5164103,60,64,0.197435471,0.13162364699999998,0,0,0,256,302,20,0
1,12,6,6.0,0,0,1.0,1,1,40,0,2000000.0,0.0,6,0,0,5500,-1,20,0
254408,548,189,60.88888889,2820,0,14133.77778,3,4,192,212,35.37624603,39.30694003,0,0,1,8192,119,20,0
101547,552,193,61.33333333,2255,0,5641.5,1,3,192,212,88.62891075,98.4765675,0,0,1,8192,119,20,0
112,12,6,6.0,0,0,112.0,112,112,40,0,17857.14286,0.0,6,0,0,253,-1,20,0
5914303,12,6,4.0,0,0,1971434.333,114,15953,80,32,0.507244894,0.169081631,0,0,0,29200,29200,20,0
195,86,43,43.0,102,102,65.0,4,48,80,80,10256.410259999999,10256.410259999999,43,0,1,-1,-1,40,0
204,90,45,45.0,86,86,68.0,4,4,64,64,9803.921569,9803.921569,45,0,1,-1,-1,32,0
15409612,1391,517,126.45454550000001,1448,0,733791.0476,3,190,360,360,0.7138401670000001,0.7138401670000001,0,0,1,29200,35,32,0
